#SampleID,Region
SRR5802357,Jiangsu
SRR5802350,Jiangsu
SRR5802286,Jiangsu
SRR5802283,Jiangsu
SRR5802281,Jiangsu
SRR5802282,Jiangsu
SRR5802361,Jiangsu
SRR5802252,Jiangsu
SRR5802327,Jiangsu
SRR5802328,Jiangsu
SRR5802258,Jiangsu
SRR5802257,Jiangsu
SRR5802260,Jiangsu
SRR5802259,Jiangsu
SRR5802254,Jiangsu
SRR5802352,Jiangsu
SRR5802349,Jiangsu
SRR5802383,Jiangsu
SRR5802323,Jiangsu
SRR5802324,Jiangsu
SRR5802268,Jiangsu
SRR5802265,Jiangsu
SRR5609958,Jiangsu
SRR5802256,Jiangsu
SRR5802287,Jiangsu
SRR5802290,Jiangsu
SRR5802293,Jiangsu
SRR5802312,Jiangsu
SRR5802276,Jiangsu
SRR5802275,Jiangsu
SRR5802274,Jiangsu
SRR5802273,Jiangsu
SRR5802272,Jiangsu
SRR5802278,Jiangsu
SRR5802303,Jiangsu
SRR5802306,Jiangsu
SRR5802305,Jiangsu
SRR5802300,Jiangsu
SRR5802299,Jiangsu
SRR5802302,Jiangsu
SRR5802301,Jiangsu
SRR5802297,Jiangsu
SRR5802228,Jiangsu
SRR5802230,Jiangsu
SRR5802401,Jiangsu
SRR5802400,Jiangsu
SRR5802403,Jiangsu
SRR5802377,Jiangsu
SRR5802378,Jiangsu
SRR5802379,Jiangsu
SRR5802380,Jiangsu
SRR5802373,Jiangsu
SRR5802375,Jiangsu
SRR5802376,Jiangsu
SRR5802381,Jiangsu
SRR5802390,Jiangsu
SRR5802385,Jiangsu
SRR5802384,Jiangsu
SRR5802392,Jiangsu
SRR5802209,Jiangsu
SRR5802211,Jiangsu
SRR5802212,Jiangsu
SRR5802213,Jiangsu
SRR5802250,Jiangsu
SRR5802249,Jiangsu
SRR5802246,Jiangsu
SRR5802243,Jiangsu
SRR5802242,Jiangsu
SRR5802264,Jiangsu
SRR5802267,Jiangsu
SRR5802266,Jiangsu
SRR5802255,Jiangsu
SRR5610064,Jiangsu
SRR5802288,Jiangsu
SRR5802292,Jiangsu
SRR5802291,Jiangsu
SRR5802280,Jiangsu
SRR5802279,Jiangsu
SRR5610097,Jiangsu
SRR5610104,Jiangsu
SRR5802311,Jiangsu
SRR5610159,Jiangsu
SRR5610158,Jiangsu
SRR5610156,Jiangsu
SRR5610139,Jiangsu
SRR5610040,Jiangsu
SRR5802320,Jiangsu
SRR5609954,Jiangsu
SRR5802322,Jiangsu
SRR5802317,Jiangsu
SRR5802348,Jiangsu
SRR5802346,Jiangsu
SRR5802339,Jiangsu
SRR5802369,Jiangsu
SRR5802388,Jiangsu
SRR5802387,Jiangsu
SRR5802386,Jiangsu
SRR5802393,Jiangsu
SRR5802204,Jiangsu
SRR5802205,Jiangsu
SRR5802206,Jiangsu
SRR5802207,Jiangsu
SRR5802208,Jiangsu
SRR5802210,Jiangsu
SRR5802251,Jiangsu
SRR5802248,Jiangsu
