#OTU ID	MTC4T1	MTC4T2	MTT4T12a	MTT4T12b	MTT4T14	MTT4T9a	MTT4T9b	MTT4T17	MTB4T21	MTB4T22	MTB4T23	MTB4T24	MTB4T25
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	4.85894483154e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.000199216738093	0.0	9.59900170382e-05	7.46602956548e-05	0.00145997169625	0.0117536945186	0.00214419340912	0.00157691953375	0.000484415556246	0.00115229126825	0.0030918225839499	0.00377326936544	0.00304414003044
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0245862608476	2.53344142683e-05	0.0	0.0	8.95688157211e-06	3.82026907429e-05	1.43905597928e-05	0.0	7.23008292905e-06	4.84155995062e-06	0.0001023029531449	0.000250854473049	1.17082308863e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.0	0.0	7.99916808652e-06	2.48867652183e-05	0.000188094513014	5.09369209905e-05	2.87811195856e-05	8.12845120491e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0.0	0.0	0.0	0.0	0.0	3.82026907429e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3;o__	4.85894483154e-06	0.0	7.19925127787e-05	0.000161763973919	1.79137631442e-05	6.36711512381e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3;o__CW040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3;o__EW055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3;o__I025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
