#OTU ID	MTC7T1	MTC7T2	MTT7T3	MTT7T4	MTT7T5	MTT7T7	MTT7T10	MTT7T12	MTT7T13	MTT7T14	MTT7T8	MTT7T9	MTT7T17	MTT7T18	MTT7T19	MTB7T21	MTB7T22	MTB7T23	MTB7T24
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.5307105924319999	0.532659473314	0.41784546783	0.276536953089	0.264684147143	0.5301942239490001	0.0617252016012	0.150256938433	0.525581674983	0.199131214232	0.0803352029511	0.0081342373367799	0.0737578398233999	0.140952948798	0.424240395751	0.263688360177	0.451885897144	0.662301652429	0.435691452398
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71991721465e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	6.75561560547e-06	0.0	0.0	5.34412847285e-05	0.0	0.0	0.0	6.51283353849e-06	0.0001146611476429	0.0	0.0	0.0	0.0	2.77970813065e-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.0	0.0	0.0	0.0	0.0	0.000486404323594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	0.0	0.0	0.0	0.0	0.000108089849688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.0	0.0	0.0	0.0	0.0	6.75561560547e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	0.0	1.03352763653e-05	0.0	1.27336627107e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73305738217e-06	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	8.57478498727e-06	0.0001240233163829	0.0	0.0	2.05276987081e-05	1.35112312109e-05	0.000142268667913	6.57411769862e-05	0.000835020073883	6.26829558775e-06	3.62251027887e-05	6.27780169321e-05	0.0	0.000108928090261	0.000374865282789	5.95793696503e-05	7.843198770189999e-06	8.63789097254e-06	1.38985406532e-05
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	0.0	0.0	6.8425662360400006e-06	2.02668468164e-05	0.0	5.47843141552e-06	0.00878441117724	0.0009214394513989	0.0	3.58731525326e-05	0.0024879024116999	0.0122400775109	0.0003347011453469	0.0	7.843198770189999e-06	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	0.0	0.0	0.0	1.27336627107e-05	2.05276987081e-05	0.0	7.11343339563e-05	1.64352942466e-05	0.0	0.0	2.41500685258e-05	8.96828813316e-06	0.000110718170154	0.000217856180523	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	7.71730648854e-05	2.58381909132e-05	0.000135580964433	0.0004456781948759	0.00112218086271	0.0002229353149809	0.00669309414952	0.0014463058937	0.00406153763936	0.00131634207343	0.00153352935139	0.0307432917205	0.00410959796279	0.010996004059	0.000321313099533	0.000595793696503	0.000125491180323	0.00010365469167	0.0009867963863789
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	6.00234949109e-05	1.55029145479e-05	0.0	1.27336627107e-05	0.0	2.70224624219e-05	0.000252203547663	0.0	1.33603211821e-05	0.0001128293205789	0.000235463168127	1.79365762663e-05	0.00267677458432	0.000384114844605	0.0	1.98597898834e-05	5.49023913913e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.41073220089	0.383335400389	0.547325288863	0.642629756023	0.626300087585	0.386421212633	0.8116944845020001	0.773302508026	0.305463703347	0.70036920261	0.757690287446	0.695903285981	0.7055026930570001	0.7387560412090001	0.526023014051	0.644519690982	0.506764758939	0.300598605844	0.478610145935
k__Bacteria;p__Firmicutes;c__Clostridia;o__MBA08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54	0.0	1.03352763653e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.0016206343625899	0.0021755756748899	0.00201864991489	0.00320888300311	0.00297651631268	0.0505860496538	0.00263843711402	0.00324323139799	0.00107550585516	0.0061491979715799	0.00463681315696	0.016636174487	0.0186397295872	0.0058649177019599	0.00679443325055	0.00919508271602	0.00163922854297	0.00179668132229	0.00418346073662
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.0	5.16763818265e-06	0.0	0.0	2.05276987081e-05	6.75561560547e-06	0.0	0.0	0.0	5.0146364702e-05	0.0	1.79365762663e-05	2.6051334154e-05	5.73305738217e-06	2.67760916278e-05	9.92989494171e-06	1.56863975404e-05	1.72757819451e-05	0.000333564975678
